"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"06085","Santa Clara County, CA","3.4","2.4","54","17","0.09","0.07",".",".",".","39","10.7","67","24","."
"06087","Santa Cruz County, CA","1.5","0.9","25","4","0.07","0.059","10","3","1","16","6.4","47","24","."
"06089","Shasta County, CA",".",".",".",".","0.08","0.076",".",".",".","17","5.6","40","20","."
"06093","Siskiyou County, CA",".",".",".",".","0.07","0.06",".",".",".",".",".","64","17","."
"06095","Solano County, CA","3.3","2.6","43","11","0.09","0.071","9","4","1","39","9.8","47","18","."
"06097","Sonoma County, CA","2.1","1.5","39","11","0.07","0.06",".",".",".","30","7.6","36","16","."
"06099","Stanislaus County, CA","3.7","3","46","12","0.09","0.076",".",".",".","57","15","75","31","."
"06101","Sutter County, CA",".",".","47","12","0.09","0.077",".",".",".","34","8.2","42","20","."
"06103","Tehama County, CA",".",".",".",".","0.09","0.082",".",".",".",".",".","50","22","."
"06105","Trinity County, CA",".",".",".",".",".",".",".",".",".",".",".","48","17","."
"06107","Tulare County, CA",".",".","59","15","0.11","0.091",".",".",".","60","20.4","88","42","."
"06109","Tuolumne County, CA",".",".",".",".","0.09","0.084",".",".",".",".",".",".",".","."
"06111","Ventura County, CA",".",".","46","13","0.11","0.086",".",".",".","32","11.7","64","29","."
"06113","Yolo County, CA",".",".","38","8","0.1","0.075",".",".",".","40","8.3","60","25","."
"08001","Adams County, CO","3","2.1","80","20","0.09","0.07","27","5","1","40","10.7","111","34","."
"08003","Alamosa County, CO",".",".",".",".",".",".",".",".",".",".",".","104","29","."
"08005","Arapahoe County, CO",".",".",".",".","0.09","0.075",".",".",".","22","8.1",".",".","."
"08007","Archuleta County, CO",".",".",".",".",".",".",".",".",".",".",".","59","23","."
"08013","Boulder County, CO","3.4","1.9",".",".","0.1","0.085",".",".",".","28","8.9","59","22","."
"08029","Delta County, CO",".",".",".",".",".",".",".",".",".",".",".","67","26","."
"08031","Denver County, CO","5.9","2.8","83","27","0.1","0.076","33","11","3","37","10.7","87","28","."
"08035","Douglas County, CO",".",".",".",".","0.1","0.082",".",".",".","19","6.8",".",".","."
"08041","El Paso County, CO","4","2.1",".",".","0.08","0.072",".",".",".","16","7.3","64","24","."
"08043","Fremont County, CO",".",".",".",".",".",".",".",".",".",".",".","30","16","."
"08045","Garfield County, CO",".",".",".",".","0.08","0.068",".",".",".",".",".","61","29","."
"08051","Gunnison County, CO",".",".",".",".",".",".",".",".",".",".",".","94","30","."
"08059","Jefferson County, CO",".",".",".",".","0.11","0.09",".",".",".",".",".",".",".","."
"08067","La Plata County, CO",".","1.2","42","7","0.08","0.071",".",".",".",".",".","38","19","."
"08069","Larimer County, CO","3.5","2.4",".",".","0.11","0.085",".",".",".","20","8","44","20","."
"08077","Mesa County, CO","2.8","1.8",".",".",".",".",".",".",".","26","9.5","124","37","."
"08083","Montezuma County, CO",".",".",".",".","0.08","0.07",".",".",".",".",".",".",".","."
"08093","Park County, CO",".",".",".",".","0.1","0.086",".",".",".",".",".",".",".","."
"08097","Pitkin County, CO",".",".",".",".","0.08",".",".",".",".",".",".","50","17","."
"08099","Prowers County, CO",".",".",".",".",".",".",".",".",".",".",".","82","26","."
"08101","Pueblo County, CO",".",".",".",".",".",".",".",".",".","15","7.2","46","24","."
"08107","Routt County, CO",".",".",".",".",".",".",".",".",".",".",".","90","24","."
"08113","San Miguel County, CO",".",".",".",".",".",".",".",".",".",".",".","60","19","."
"08117","Summit County, CO",".",".",".",".",".",".",".",".",".",".",".","71","17","."
"08123","Weld County, CO","3.9","2.4",".",".","0.09","0.074",".",".",".","29","9.2","65","22","."
"09001","Fairfield County, CT","2.8","1.9","57","14","0.13","0.092","28","17","4","32","12.7","43","21","."
"09003","Hartford County, CT","5.6","3.3","49","12","0.13","0.097","17","11","2","29","10","27","14","."
"09005","Litchfield County, CT","1","0.8","40","9","0.12","0.089","18","8","2","31","10.2",".",".","."
"09007","Middlesex County, CT",".",".",".",".","0.12","0.093",".",".",".",".",".",".",".","."
"09009","New Haven County, CT","1.9","1.4","64","18","0.12","0.093","67","20","4","33","12.2","42","21","."
"09011","New London County, CT",".",".",".",".","0.12","0.092",".",".",".","29","10.1",".",".","."
"09013","Tolland County, CT",".",".",".",".","0.12","0.087",".",".",".",".",".",".",".","."
"10001","Kent County, DE",".",".",".",".","0.09","0.078",".",".",".","31","12.1",".",".","."
"10003","New Castle County, DE","2.6","1.8",".",".","0.11","0.086","50","14","4","33","14.7","58","23","."
"10005","Sussex County, DE",".",".",".",".","0.1","0.081",".",".",".","33","13.2",".",".","."
"11001","District of Columbia","3.8","2.7","58","18","0.11","0.089",".",".","5","33","14.4","43","23","."
"12001","Alachua County, FL",".",".",".",".","0.09","0.078",".",".",".","60","11.3","77","19","."
"12003","Baker County, FL",".",".",".",".","0.08","0.069",".",".",".",".",".",".",".","."
"12005","Bay County, FL",".",".",".",".","0.09","0.077",".",".",".","28","10.9","82","22","."
"12009","Brevard County, FL",".",".",".",".","0.08","0.068","37","5","1","20","7.3","34","15","."
"12011","Broward County, FL","3.2","2.1","54","6","0.08","0.064","51","10","0","41","9","106","22","."
"12017","Citrus County, FL",".",".",".",".",".",".",".",".",".","26","8.5",".",".","."
"12021","Collier County, FL",".",".",".",".","0.08","0.069",".",".",".",".",".",".",".","."
"12023","Columbia County, FL",".",".",".",".","0.08","0.072",".",".",".",".",".",".",".","."
"12031","Duval County, FL","2.6","1.9","43","10","0.11","0.081","58","13","1","60","10.4","60","25","."
"12033","Escambia County, FL",".",".","33","5","0.1","0.082","81","17","2","26","10.8",".",".","."
"12047","Hamilton County, FL",".",".",".",".",".",".","34","13","2",".",".",".",".","."
