County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
9001,"Fairfield County, CT",5.1,3.8,67,18,0.15,0.111,70,26,6,.,.,49,29,.
9003,"Hartford County, CT",11.9,5.5,62,18,0.13,0.094,27,19,4,.,.,40,18,.
9005,"Litchfield County, CT",.,.,.,.,0.13,0.098,.,.,.,.,.,40,16,.
9007,"Middlesex County, CT",.,.,.,.,0.16,0.107,.,.,.,.,.,.,.,.
9009,"New Haven County, CT",4.2,3.1,71,26,0.15,0.105,55,27,7,43,17.2,76,31,.
9011,"New London County, CT",.,.,.,.,0.13,0.096,.,.,.,.,.,36,16,.
9013,"Tolland County, CT",.,.,.,.,0.12,0.091,.,.,.,.,.,.,.,.
10001,"Kent County, DE",.,.,.,.,0.12,0.097,.,.,.,29,12.5,.,.,.
10003,"New Castle County, DE",4,3,.,18,0.14,0.102,170,49,7,33,14.3,.,.,.
10005,"Sussex County, DE",.,.,.,.,0.12,0.1,.,.,.,35,14.7,.,.,.
11001,District of Columbia,7.3,5.6,74,24,0.13,0.103,66,20,8,.,.,.,.,.
12001,"Alachua County, FL",.,.,.,.,0.1,0.08,.,.,.,26,11.3,38,21,.
12003,"Baker County, FL",.,.,.,.,0.08,0.076,.,.,.,.,.,.,.,.
12009,"Brevard County, FL",.,.,.,.,0.09,0.077,.,.,.,.,.,52,19,.
12011,"Broward County, FL",7.9,5.4,64,10,0.1,0.075,79,15,3,25,9.2,33,19,.
12021,"Collier County, FL",.,.,.,.,.,.,.,.,.,.,.,29,17,.
12031,"Duval County, FL",6.3,4.1,53,16,0.1,0.08,98,20,3,.,.,53,28,.
12033,"Escambia County, FL",.,.,.,.,0.11,0.086,146,29,3,30,14.8,55,23,.
12047,"Hamilton County, FL",.,.,.,.,.,.,49,13,4,.,.,39,24,.
12057,"Hillsborough County, FL",8.5,4.7,46,10,0.12,0.087,157,60,8,25,12.9,81,35,.
12059,"Holmes County, FL",.,.,.,.,0.1,0.076,.,.,.,.,.,.,.,.
12069,"Lake County, FL",.,.,.,.,.,.,.,.,.,.,.,48,18,.
12071,"Lee County, FL",.,.,.,.,0.1,0.081,.,.,.,.,.,31,18,.
12073,"Leon County, FL",.,.,.,.,0.09,0.081,.,.,.,31,13.9,54,17,.
12081,"Manatee County, FL",.,.,36,7,0.11,0.083,99,17,3,.,.,41,24,.
12083,"Marion County, FL",.,.,.,.,0.1,0.083,.,.,.,.,.,.,.,.
12086,"Miami-Dade County, FL",7.1,4,67,17,0.11,0.079,11,3,1,.,.,44,24,.
12087,"Monroe County, FL",.,.,.,.,.,.,.,.,.,.,.,24,15,.
12089,"Nassau County, FL",.,.,.,.,.,.,126,36,4,.,.,58,27,.
12095,"Orange County, FL",5.2,3.3,58,12,0.1,0.084,33,7,1,25,11.3,44,26,.
12097,"Osceola County, FL",.,.,.,.,0.1,0.079,.,.,.,.,.,.,.,.
12099,"Palm Beach County, FL",5.2,3.1,49,14,0.1,0.079,14,13,1,20,9.3,32,20,.
12101,"Pasco County, FL",.,.,.,.,0.09,0.079,.,.,.,.,.,.,.,.
12103,"Pinellas County, FL",4.5,2.6,57,16,0.11,0.087,255,38,6,25,11.9,49,25,.
12105,"Polk County, FL",.,.,.,.,0.1,0.078,107,19,7,.,.,49,21,.
12107,"Putnam County, FL",.,.,.,.,.,.,82,15,3,.,.,44,24,.
12111,"St. Lucie County, FL",.,.,52,10,0.08,0.071,.,.,.,19,9.6,39,19,.
12115,"Sarasota County, FL",4.5,3.3,.,.,0.11,0.085,43,11,2,23,10.6,34,20,.
12117,"Seminole County, FL",.,.,.,.,0.1,0.079,.,.,.,22,10.9,.,.,.
12127,"Volusia County, FL",.,.,.,.,0.09,0.075,.,.,.,25,11.4,56,21,.
13015,"Bartow County, GA",.,.,.,.,.,.,.,.,3,.,.,.,.,.
13021,"Bibb County, GA",.,.,.,.,0.13,0.113,.,.,.,.,.,.,.,.
13051,"Chatham County, GA",.,.,.,.,0.11,0.083,.,.,.,.,.,58,26,.
13055,"Chattooga County, GA",.,.,.,.,.,.,.,.,.,.,.,59,22,.
13063,"Clayton County, GA",.,.,.,.,.,.,.,.,.,45,21,.,.,.
13085,"Dawson County, GA",.,.,.,.,0.1,0.089,.,.,.,.,.,.,.,.
13089,"DeKalb County, GA",6.3,4.1,.,20,0.15,0.112,.,.,.,46,21.7,44,23,.
13095,"Dougherty County, GA",.,.,.,.,.,.,.,.,.,.,.,60,26,.
13097,"Douglas County, GA",.,.,.,.,0.12,0.105,.,.,.,.,.,.,.,.
13111,"Fannin County, GA",.,.,.,.,0.1,0.081,83,18,4,.,.,.,.,.
13113,"Fayette County, GA",.,.,.,.,0.13,0.113,.,.,.,.,.,.,.,.
13115,"Floyd County, GA",.,.,.,.,.,.,106,21,3,.,.,.,.,.
13121,"Fulton County, GA",5.1,3,87,24,0.16,0.124,90,23,5,48,23,72,35,.
13127,"Glynn County, GA",.,.,.,.,0.09,0.077,45,9,2,.,.,45,26,.
13135,"Gwinnett County, GA",.,.,.,.,0.13,0.103,.,.,.,.,.,.,.,.
13215,"Muscogee County, GA",.,.,.,.,0.11,0.097,37,10,2,.,.,45,24,.
13223,"Paulding County, GA",.,.,.,7,0.12,0.103,.,.,.,.,.,.,.,.
13245,"Richmond County, GA",.,.,.,.,0.11,0.09,.,.,.,.,.,.,.,.
13247,"Rockdale County, GA",.,.,38,7,0.16,0.123,.,.,.,.,.,.,.,.
13261,"Sumter County, GA",.,.,.,.,0.1,0.084,.,.,.,.,.,.,.,.
13295,"Walker County, GA",.,.,.,.,.,.,.,.,.,.,.,57,26,.
13303,"Washington County, GA",.,.,.,.,.,.,.,.,.,.,.,59,27,.
15001,"Hawaii County, HI",.,.,.,.,.,.,826,187,10,.,.,.,.,.
15003,"Honolulu County, HI",3.8,2.1,27,4,0.05,0.046,28,4,1,15,5,41,18,.
15009,"Maui County, HI",.,.,.,.,.,.,.,.,.,.,.,97,17,.
16001,"Ada County, ID",9.1,4.6,55,21,.,.,.,.,.,33,9.4,94,30,.
16005,"Bannock County, ID",.,.,.,.,.,.,115,46,7,89,9.6,168,30,.
16013,"Blaine County, ID",.,.,.,.,.,.,.,.,.,.,.,59,25,.
16017,"Bonner County, ID",.,.,.,.,.,.,.,.,.,31,9.6,62,21,.
16023,"Butte County, ID",.,.,.,.,0.08,0.068,.,.,.,.,.,.,.,.
16027,"Canyon County, ID",10.6,6.2,.,.,.,.,.,.,.,32,9.9,101,36,.
16029,"Caribou County, ID",.,.,.,.,.,.,175,47,4,.,.,75,24,.
16055,"Kootenai County, ID",.,.,.,.,.,.,.,.,.,.,.,92,22,.
16059,"Lemhi County, ID",.,.,.,.,.,.,.,.,.,.,.,93,36,.
16065,"Madison County, ID",.,.,.,.,.,.,.,.,.,.,.,74,24,.
16067,"Minidoka County, ID",.,.,.,.,.,.,.,.,.,.,.,63,24,.
16069,"Nez Perce County, ID",7,4.6,.,.,.,.,.,.,.,.,.,65,31,.
16077,"Power County, ID",.,.,.,.,.,.,.,.,.,.,.,76,21,.
16079,"Shoshone County, ID",.,.,.,.,.,.,.,.,.,.,.,80,20,.
16083,"Twin Falls County, ID",.,.,.,.,.,.,.,.,.,12,3.3,54,24,.
17001,"Adams County, IL",.,.,.,.,0.09,0.075,146,33,5,.,.,45,21,.
17019,"Champaign County, IL",.,.,.,.,0.11,0.094,26,10,2,.,.,47,23,.
17031,"Cook County, IL",6.4,4.9,83,32,0.11,0.097,138,44,9,54,21.8,120,40,.
17043,"DuPage County, IL",.,.,.,.,0.09,0.075,68,19,3,32,15.5,.,.,.
17049,"Effingham County, IL",.,.,.,.,0.1,0.092,.,.,.,.,.,.,.,.
17065,"Hamilton County, IL",.,.,.,.,0.1,0.08,.,.,.,.,.,.,.,.
17077,"Jackson County, IL",.,.,.,.,.,.,.,.,.,.,.,54,23,.
17083,"Jersey County, IL",.,.,.,.,0.13,0.1,.,.,.,.,.,.,.,.
17089,"Kane County, IL",.,.,.,.,0.09,0.081,.,.,.,.,.,.,.,.
17097,"Lake County, IL",.,.,.,.,0.11,0.088,.,.,.,.,.,.,.,.
17099,"La Salle County, IL",.,.,.,.,.,.,.,.,.,.,.,149,28,.
17111,"McHenry County, IL",.,.,.,.,0.1,0.09,.,.,.,.,.,.,.,.
17115,"Macon County, IL",.,.,.,.,0.1,0.087,101,27,5,.,.,.,.,.
17117,"Macoupin County, IL",.,.,.,.,0.1,0.085,31,12,3,38,16,.,.,.
17119,"Madison County, IL",4.1,2.4,.,.,0.12,0.092,178,59,9,43,20.6,117,44,.
17143,"Peoria County, IL",7.2,4.6,.,.,0.1,0.082,169,36,7,.,.,52,23,.
17157,"Randolph County, IL",.,.,.,.,0.1,0.082,251,64,5,34,14.5,.,.,.
17161,"Rock Island County, IL",.,.,.,.,0.09,0.074,33,10,3,41,16.4,.,.,.
17163,"Saint Clair County, IL",.,.,60,18,0.11,0.084,167,35,8,45,17.9,77,32,.
17167,"Sangamon County, IL",5.6,2.4,.,.,0.1,0.075,215,59,6,39,15.9,45,20,.
17179,"Tazewell County, IL",.,.,.,.,.,.,238,35,5,.,.,.,.,.
17197,"Will County, IL",1.5,1,44,10,0.1,0.085,87,23,5,39,15.5,52,23,.
17201,"Winnebago County, IL",6.5,3.8,.,.,0.09,0.082,.,.,.,.,.,.,.,.
18003,"Allen County, IN",5.5,3.3,.,.,0.1,0.09,.,.,.,.,.,.,.,.
18019,"Clark County, IN",.,.,.,.,0.11,0.089,.,.,.,.,.,.,.,.
18027,"Daviess County, IN",.,.,.,.,.,.,130,30,6,.,.,.,.,.
18029,"Dearborn County, IN",.,.,.,.,.,.,134,30,8,.,.,.,.,.
18035,"Delaware County, IN",.,.,.,.,.,.,.,.,.,.,.,.,.,.
18037,"Dubois County, IN",.,.,.,.,.,.,.,.,.,.,.,54,26,.
18039,"Elkhart County, IN",.,.,.,.,0.09,0.077,.,.,.,.,.,.,.,.
18043,"Floyd County, IN",.,.,.,.,0.12,0.094,149,32,7,.,.,.,.,.
18051,"Gibson County, IN",.,.,.,.,0.1,0.08,.,.,.,.,.,.,.,.
18057,"Hamilton County, IN",.,.,.,.,0.11,0.096,.,.,.,.,.,.,.,.
18059,"Hancock County, IN",.,.,.,.,0.1,0.094,.,.,.,.,.,.,.,.
18063,"Hendricks County, IN",4,2.1,.,.,.,.,.,.,.,.,.,.,.,.
18073,"Jasper County, IN",.,.,.,.,.,.,62,15,3,.,.,.,.,.
18077,"Jefferson County, IN",.,.,.,.,.,.,91,23,6,.,.,.,.,.
18081,"Johnson County, IN",.,.,.,.,0.11,0.095,.,.,.,.,.,.,.,.
18089,"Lake County, IN",5.5,3.1,.,19,0.11,0.095,93,32,7,38,16.5,165,34,.
18091,"LaPorte County, IN",.,.,.,.,0.11,0.086,40,14,4,.,.,.,.,.
18095,"Madison County, IN",.,.,.,.,0.11,0.093,.,.,.,.,.,.,.,.
18097,"Marion County, IN",4.8,2.6,.,18,0.11,0.096,115,24,7,.,.,53,27,.
18109,"Morgan County, IN",.,.,.,.,0.11,0.093,.,.,.,.,.,.,.,.
18123,"Perry County, IN",.,.,.,.,0.12,0.095,.,.,.,.,.,61,27,.
18127,"Porter County, IN",.,.,.,.,0.12,0.102,85,20,5,.,.,78,25,.
18129,"Posey County, IN",.,.,.,.,0.11,0.096,.,.,.,.,.,.,.,.
18141,"St. Joseph County, IN",.,.,.,.,0.11,0.09,.,.,.,.,.,.,.,.
18147,"Spencer County, IN",.,.,38,7,.,.,100,28,7,.,.,.,.,.
18163,"Vanderburgh County, IN",6.1,4.1,.,.,0.11,0.098,87,22,6,.,.,60,26,.
18167,"Vigo County, IN",.,.,.,.,0.09,0.082,120,25,6,.,.,55,26,.
18173,"Warrick County, IN",.,.,.,.,0.11,0.092,286,110,15,.,.,.,.,.
18177,"Wayne County, IN",.,.,.,.,.,.,153,41,6,.,.,.,.,.
19033,"Cerro Gordo County, IA",.,.,.,.,.,.,276,123,6,.,.,148,37,.
19045,"Clinton County, IA",.,.,.,.,0.1,0.081,56,21,4,.,.,78,25,.
19085,"Harrison County, IA",.,.,.,.,0.09,0.068,.,.,.,.,.,.,.,.
19113,"Linn County, IA",2.9,2,.,.,0.1,0.076,172,71,5,.,.,.,.,.
19139,"Muscatine County, IA",.,.,.,.,.,.,273,129,10,.,.,.,.,.
19147,"Palo Alto County, IA",.,.,.,.,0.08,0.074,.,.,.,.,.,.,.,.
19153,"Polk County, IA",6.5,3.5,.,.,0.07,0.059,.,.,.,.,.,.,.,.
19163,"Scott County, IA",.,.,.,.,0.1,0.083,45,14,3,.,.,176,44,.
19169,"Story County, IA",.,.,.,.,0.08,0.072,.,.,.,.,.,.,.,.
19177,"Van Buren County, IA",.,.,.,.,0.09,0.076,.,.,.,.,.,.,.,.
19181,"Warren County, IA",.,.,.,.,0.08,0.073,.,.,.,.,.,.,.,.
19193,"Woodbury County, IA",.,.,.,.,.,.,.,.,.,.,.,73,27,.
20057,"Ford County, KS",.,.,.,.,.,.,.,.,.,.,.,89,31,.
20091,"Johnson County, KS",.,.,.,.,.,.,.,.,.,29,12.3,.,.,.
20107,"Linn County, KS",1.7,1.2,27,4,0.1,0.082,18,7,1,.,.,.,.,.
20125,"Montgomery County, KS",.,.,.,.,.,.,122,46,7,.,.,95,25,.
20133,"Neosho County, KS",.,.,.,.,.,.,.,.,.,.,.,98,35,.
20173,"Sedgwick County, KS",8.6,4.6,.,.,0.1,0.079,.,.,.,28,11.9,85,30,.
20181,"Sherman County, KS",.,.,.,.,.,.,.,.,.,.,.,118,31,.
20191,"Sumner County, KS",1.8,1.2,.,.,.,.,.,.,.,.,.,.,.,.
20209,"Wyandotte County, KS",7.1,4.6,.,.,0.09,0.078,.,.,.,.,.,118,40,.
21013,"Bell County, KY",4.5,2.5,.,.,0.11,0.081,.,.,.,.,.,.,.,.
21015,"Boone County, KY",.,.,.,.,0.11,0.091,.,.,.,.,.,.,.,.
21019,"Boyd County, KY",4.2,2.7,59,16,0.12,0.094,115,24,8,.,.,89,40,.
21029,"Bullitt County, KY",.,.,57,14,0.11,0.093,.,.,.,.,.,56,25,.
21037,"Campbell County, KY",.,.,51,17,0.1,0.09,78,25,6,.,.,46,26,.
